task_id,badanie,timestamp,algorithm,structure,data_type,distribution,size,iterations,min_us,avg_us,max_us
1,A,2026-05-12 02:22:22,cocktail,array,int,random,5000,50,56123,57815.38,71862
2,A,2026-05-12 02:22:35,cocktail,array,int,random,10000,50,230183,245109.14,340081
3,A,2026-05-12 02:23:51,cocktail,array,int,random,25000,50,1493591,1528930.1,1663455
4,A,2026-05-12 02:28:57,cocktail,array,int,random,50000,50,6042719,6110921.02,6607362
5,A,2026-05-12 02:28:57,merge,array,int,random,5000,50,740,747.84,787
6,A,2026-05-12 02:28:57,merge,array,int,random,10000,50,1596,1617.04,1794
7,A,2026-05-12 02:28:57,merge,array,int,random,25000,50,4399,4411.92,4483
8,A,2026-05-12 02:28:58,merge,array,int,random,50000,50,9380,9567.64,10545
9,A,2026-05-12 02:28:58,merge,singleList,int,random,5000,50,541,556.06,801
10,A,2026-05-12 02:28:58,merge,singleList,int,random,10000,50,1184,1219.86,1483
11,A,2026-05-12 02:28:59,merge,singleList,int,random,25000,50,3278,3315.72,3798
12,A,2026-05-12 02:28:59,merge,singleList,int,random,50000,50,7113,7178.06,8206
13,A,2026-05-12 02:29:00,insertion,array,int,random,5000,50,25620,26361.16,28019
14,A,2026-05-12 02:29:06,insertion,array,int,random,10000,50,102736,107117.38,180798
15,A,2026-05-12 02:29:39,insertion,array,int,random,25000,50,646797,654110.88,688051
16,A,2026-05-12 02:31:51,insertion,array,int,random,50000,50,2588145,2649193.52,3255303
17,A,2026-05-12 02:31:52,insertion,singleList,int,random,5000,50,8887,9122.72,10161
18,A,2026-05-12 02:31:54,insertion,singleList,int,random,10000,50,40245,45250.1,142049
19,A,2026-05-12 02:32:24,insertion,singleList,int,random,25000,50,567426,592127.32,671460
20,A,2026-05-12 02:34:57,insertion,singleList,int,random,50000,50,2968519,3063401.6,3474337
21,B,2026-05-12 02:34:57,merge,array,int,random,25000,50,4391,4508.94,5375
22,B,2026-05-12 02:34:58,merge,array,int,ascending,25000,50,2377,2413.42,2749
23,B,2026-05-12 02:34:58,merge,array,int,ascending50Per,25000,50,3456,3505.08,3950
24,B,2026-05-12 02:34:58,merge,array,int,descending,25000,50,2352,2397.76,3164
25,B,2026-05-12 02:34:59,merge,singleList,int,random,25000,50,3289,3340.98,3975
26,B,2026-05-12 02:34:59,merge,singleList,int,ascending,25000,50,1378,1400.7,1497
27,B,2026-05-12 02:34:59,merge,singleList,int,ascending50Per,25000,50,2405,2421.2,2533
28,B,2026-05-12 02:34:59,merge,singleList,int,descending,25000,50,1375,1389.48,1460
29,C,2026-05-12 02:35:00,merge,array,int,random,25000,50,4396,4473.3,4751
30,C,2026-05-12 02:35:00,merge,array,float,random,25000,50,4734,5886.22,55302
31,C,2026-05-12 02:35:01,merge,array,unsigned_int,random,25000,50,4400,4556.4,5056
